epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2094.46,1.16107,0.73215,0.00284,0.85407,0.70724,0.74269,0.57077,1.18152,0.73025,0.00381,0.000166149,0.000166149,0.000166149
76,2121.43,1.17518,0.75402,0.00289,0.86333,0.70435,0.74807,0.57171,1.17341,0.71828,0.00378,0.000154982,0.000154982,0.000154982
77,2148.59,1.16482,0.74168,0.00279,0.86354,0.70546,0.74412,0.57,1.17929,0.72291,0.00379,0.000144161,0.000144161,0.000144161
78,2175.53,1.17253,0.75344,0.00293,0.84809,0.70977,0.74416,0.5709,1.17767,0.72388,0.00379,0.000133695,0.000133695,0.000133695
79,2202.31,1.16717,0.74485,0.00297,0.86975,0.70289,0.74578,0.56943,1.18145,0.73231,0.0038,0.000123596,0.000123596,0.000123596
80,2229.08,1.14961,0.7268,0.00284,0.8786,0.70148,0.74756,0.57077,1.17949,0.73218,0.00379,0.000113873,0.000113873,0.000113873
81,2256.36,1.16421,0.73515,0.00285,0.86972,0.70178,0.74712,0.57283,1.17475,0.71819,0.00378,0.000104537,0.000104537,0.000104537
82,2283.54,1.18144,0.75725,0.00297,0.86506,0.70689,0.74831,0.57404,1.17588,0.71766,0.00379,9.55951e-05,9.55951e-05,9.55951e-05
83,2310.69,1.17033,0.7359,0.00282,0.86782,0.70213,0.74661,0.57347,1.17726,0.72535,0.00379,8.70577e-05,8.70577e-05,8.70577e-05
84,2337.53,1.14894,0.72716,0.00277,0.86373,0.70688,0.74657,0.57231,1.17812,0.72333,0.00379,7.89327e-05,7.89327e-05,7.89327e-05
85,2364.36,1.15602,0.7358,0.00292,0.86073,0.71101,0.74775,0.57301,1.17894,0.72549,0.00379,7.12282e-05,7.12282e-05,7.12282e-05
86,2391.08,1.1548,0.71853,0.00283,0.85129,0.71262,0.74671,0.57202,1.18229,0.72991,0.0038,6.39518e-05,6.39518e-05,6.39518e-05
87,2418.14,1.14304,0.72236,0.00282,0.86481,0.70566,0.74998,0.57463,1.1783,0.72812,0.00379,5.71106e-05,5.71106e-05,5.71106e-05
88,2445.31,1.16415,0.73715,0.00288,0.86404,0.70725,0.75058,0.57492,1.17512,0.7171,0.00377,5.07115e-05,5.07115e-05,5.07115e-05
89,2472.41,1.15448,0.72729,0.00283,0.88312,0.70421,0.75128,0.57551,1.17665,0.7219,0.00378,4.47606e-05,4.47606e-05,4.47606e-05
